geoid,name,population,value,percentile,numerator,denominator,se
92276,92276,6748,-0.896817563,0.044935263,,,
92503,92503,95551,-0.291920885,0.293983244,,,
92504,92504,59896,-0.26785699,0.311500381,,,
92230,92230,2705,-1.065385816,0.015993907,,,
92320,92320,8753,-0.033698433,0.483625286,,,
92501,92501,21590,-0.299832155,0.290936786,,,
92557,92557,53406,-0.253307524,0.325971059,,,
92586,92586,19472,-0.24512836,0.330540746,,,
95832,95832,12114,-0.4800321,0.190403656,,,
95811,95811,6294,-0.089765515,0.441736481,,,
95660,95660,35461,-0.426410087,0.220106626,,,
95833,95833,39905,-0.039103029,0.477532369,,,
95608,95608,62539,0.164597632,0.607006855,,,
95826,95826,39145,0.146016426,0.59634425,,,
95638,95638,2126,-0.048200977,0.469916222,,,
92301,92301,34250,-1.003234683,0.027418126,,,
92307,92307,39149,-0.28140932,0.303884235,,,
92342,92342,6737,-0.367742285,0.255140899,,,
92372,92372,6071,-0.686815694,0.098248286,,,
92315,92315,5247,0.018932937,0.514089871,,,
92365,92365,2733,-0.738627308,0.082254379,,,
91710,91710,91773,-0.057478436,0.463061691,,,
92359,92359,9170,-0.043391234,0.473724296,,,
92346,92346,63857,-0.249066737,0.329779132,,,
92401,92401,2257,-1.253938845,0.005331302,,,
91915,91915,33485,0.203277256,0.632140137,,,
92121,92121,4729,0.635138068,0.881949733,,,
92128,92128,51357,0.623867537,0.878903275,,,
92024,92024,51381,0.614400981,0.871287129,,,
92118,92118,22548,0.372886471,0.733434882,,,
92110,92110,30108,0.146135253,0.597867479,,,
92127,92127,49935,0.631154987,0.880426504,,,
92101,92101,41159,0.115246517,0.57501904,,,
92027,92027,56788,-0.130475487,0.409748667,,,
92139,92139,36105,-0.103815566,0.428789033,,,
92011,92011,24144,0.677437865,0.900228484,,,
92057,92057,60414,0.081301417,0.558263519,,,
92086,92086,1543,-0.484211317,0.188118812,,,
94117,94117,44650,0.987115918,0.971058644,,,
94105,94105,10916,1.698816947,1,,,
95210,95210,41509,-0.59296553,0.132520944,,,
95336,95336,47855,-0.342454157,0.268088347,,,
93432,93432,1503,0.279659591,0.672505712,,,
93458,93458,57256,-0.61384098,0.125666413,,,
94025,94025,43392,0.78269257,0.934501142,,,
94404,94404,36985,0.890552961,0.962680883,,,
94401,94401,36001,0.358885171,0.72658035,,,
94037,94037,2504,0.609812152,0.869383092,,,
93117,93117,58546,0.042182094,0.526275704,,,
95020,95020,64833,0.180338823,0.614623001,,,
95132,95132,41790,0.449677123,0.785224676,,,
95051,95051,59851,0.594484252,0.863670982,,,
95125,95125,53155,0.67783819,0.900990099,,,
95050,95050,38699,0.394919885,0.747143945,,,
94040,94040,36526,0.791139103,0.937547601,,,
95002,95002,2348,0.082979175,0.560548363,,,
95130,95130,14660,0.644338672,0.886519421,,,
95062,95062,36737,0.267479119,0.665651181,,,
95019,95019,7368,-0.123559277,0.41507997,,,
94533,94533,75909,-0.123136295,0.415841584,,,
94535,94535,3842,-0.815037682,0.062452399,,,
94534,94534,39239,0.55062988,0.843107388,,,
94585,94585,29525,0.010252873,0.507996954,,,
95421,95421,1808,0.062582388,0.544554455,,,
95472,95472,30736,0.424828017,0.763899467,,,
95692,95692,5251,-0.134129815,0.408225438,,,
96021,96021,16017,-0.44600937,0.205635948,,,
93219,93219,10285,-1.192140977,0.00990099,,,
93256,93256,5431,-1.268501624,0.004569688,,,
93647,93647,11407,-0.988224246,0.02970297,,,
93270,93270,5367,-1.00798846,0.026656512,,,
93267,93267,6788,-0.996307789,0.028179741,,,
93235,93235,4215,-0.655599198,0.111195735,,,
93023,93023,19895,0.340385402,0.712871287,,,
95695,95695,41278,0.00738417,0.507235339,,,
95776,95776,23911,0.104369324,0.572734196,,,
94619,94619,24112,0.454877969,0.789032749,,,
94710,94710,7893,0.378219296,0.737242955,,,
94577,94577,47682,0.321397855,0.705255141,,,
94542,94542,14699,0.482139089,0.809596344,,,
94579,94579,21883,0.347073467,0.717440975,,,
94550,94550,50374,0.669402329,0.895658797,,,
94551,94551,47227,0.553367374,0.845392232,,,
95391,95391,20131,0.311620657,0.698400609,,,
95223,95223,2666,-0.091666714,0.439451637,,,
95928,95928,37735,-0.11543403,0.421934501,,,
95926,95926,40000,-0.028411034,0.488194973,,,
95249,95249,5444,-0.554364148,0.153084539,,,
94507,94507,15105,1.062810877,0.981721249,,,
94513,94513,64313,0.355248709,0.722772277,,,
94561,94561,42473,0.13088295,0.589489718,,,
94511,94511,2161,-0.223031045,0.34424981,,,
94509,94509,68166,-0.258312783,0.318354912,,,
94531,94531,43022,0.25408267,0.659558264,,,
94556,94556,16428,1.067367482,0.982482864,,,
94526,94526,33135,0.887600386,0.96039604,,,
94525,94525,3290,0.306840963,0.696115765,,,
95672,95672,5266,0.486262039,0.812642803,,,
95634,95634,3559,-0.272295598,0.308453922,,,
93625,93625,8059,-0.358766221,0.259710586,,,
93210,93210,18336,-0.369141054,0.254379284,,,
93667,93667,2405,0.028689743,0.517897944,,,
93650,93650,3173,-0.4504702,0.203351104,,,
93648,93648,16087,-0.881015122,0.04950495,,,
92227,92227,27189,-0.743265014,0.081492765,,,
92274,92274,15317,-0.987397017,0.030464585,,,
92283,92283,1684,-1.388728123,0.003046458,,,
93560,93560,21756,-0.412533546,0.224676314,,,
93268,93268,18731,-0.814675583,0.063214014,,,
93555,93555,33833,-0.129291924,0.410510282,,,
93240,93240,6327,-0.882173691,0.048743336,,,
93205,93205,2030,-0.928988831,0.037319117,,,
93215,93215,54958,-0.720482123,0.088347296,,,
93252,93252,2488,-0.83259645,0.055597867,,,
93280,93280,28138,-0.85776121,0.052551409,,,
95464,95464,2505,-0.518580207,0.172886519,,,
95422,95422,15696,-0.884708301,0.047220107,,,
91411,91411,26111,-0.230842745,0.339680122,,,
91307,91307,26341,0.427404025,0.766184311,,,
93591,93591,6744,-0.913960664,0.04112719,,,
93551,93551,50601,0.045653911,0.530083778,,,
91361,91361,20258,0.732395539,0.923076923,,,
90220,90220,52817,-0.585799208,0.136329018,,,
90248,90248,11607,0.026422078,0.5156131,,,
90501,90501,41975,-0.022393078,0.489718203,,,
90706,90706,77195,-0.261612409,0.316831683,,,
90240,90240,26413,0.104831322,0.573495811,,,
91750,91750,34129,0.17135461,0.609291698,,,
91768,91768,35191,-0.548345811,0.156892612,,,
91711,91711,36777,0.39933041,0.749428789,,,
91766,91766,72348,-0.519994719,0.17136329,,,
91746,91746,29709,-0.385587006,0.240670221,,,
90047,90047,51411,-0.534486747,0.163747144,,,
90305,90305,15042,0.166739261,0.608530084,,,
90804,90804,39239,-0.279501276,0.304645849,,,
90024,90024,51627,-0.102151298,0.431073877,,,
90026,90026,68906,-0.150032575,0.394516375,,,
90049,90049,36418,0.793634268,0.93907083,,,
90035,90035,27272,0.333603126,0.709824829,,,
90039,90039,29510,0.266300982,0.663366337,,,
90274,90274,25061,0.828336328,0.945925362,,,
91106,91106,25543,0.319673308,0.703731912,,,
91103,91103,27659,-0.191634266,0.37395278,,,
91107,91107,32503,0.446351844,0.782178218,,,
91020,91020,8633,0.234391849,0.648895659,,,
91602,91602,19672,0.285043619,0.6770754,,,
91607,91607,30611,0.147986719,0.598629094,,,
91324,91324,29670,-0.042279398,0.475247525,,,
90232,90232,14780,0.517314553,0.827875095,,,
90015,90015,22651,-0.662300924,0.108149276,,,
90008,90008,31754,-0.371822274,0.25209444,,,
90001,90001,59832,-0.889652633,0.046458492,,,
91344,91344,53613,0.154707101,0.603198781,,,
91340,91340,36156,-0.444656001,0.207159177,,,
90405,90405,28156,0.621762072,0.876618431,,,
90404,90404,22929,0.284227413,0.676313785,,,
90401,90401,7111,0.295029705,0.685453161,,,
90278,90278,40252,0.681653514,0.904036558,,,
90022,90022,67014,-0.600439281,0.130236101,,,
90201,90201,101965,-0.676272971,0.10053313,,,
90505,90505,37220,0.515016426,0.827113481,,,
90503,90503,44605,0.401024697,0.750190404,,,
90605,90605,40192,-0.287893024,0.298552932,,,
91024,91024,10932,0.618395007,0.872810358,,,
93638,93638,49932,-0.7148005,0.091393755,,,
93643,93643,2783,-0.103079306,0.429550647,,,
94945,94945,19043,0.650260096,0.88804265,,,
95321,95321,3541,0.046847669,0.530845392,,,
95340,95340,35827,-0.317166881,0.280274181,,,
95333,95333,2539,-0.476739764,0.19116527,,,
93940,93940,32236,0.390855162,0.743335872,,,
93955,93955,34566,-0.130682358,0.408987053,,,
93933,93933,25442,0.058422427,0.540746382,,,
94589,94589,31536,-0.215110459,0.35262757,,,
95602,95602,17557,0.239220253,0.651942117,,,
92833,92833,52435,0.151668897,0.600913938,,,
92867,92867,44655,0.247204934,0.65575019,,,
92706,92706,35748,-0.216175726,0.351104341,,,
92627,92627,63161,0.12479139,0.581111957,,,
92620,92620,52569,0.490162391,0.814166032,,,
92646,92646,55870,0.52023241,0.830159939,,,
92655,92655,8382,-0.230426399,0.341203351,,,
92672,92672,34218,0.312917776,0.700685453,,,
92688,92688,44832,0.598575529,0.865955826,,,
92694,92694,29570,0.786755908,0.936024372,,,
92886,92886,50784,0.61722264,0.872048743,,,
92831,92831,37359,0.074661117,0.551408987,,,
92707,92707,60831,-0.233821873,0.336633663,,,
92648,92648,46228,0.44426657,0.778370145,,,
92651,92651,24800,0.69424694,0.910891089,,,
95713,95713,10472,0.053631217,0.536176695,,,
96143,96143,3585,-0.791333908,0.069306931,,,
95661,95661,31315,0.313444058,0.701447068,,,
92254,92254,9779,-1.131755057,0.012947449,,,
92241,92241,7699,-0.776519832,0.076161462,,,
92532,92532,25923,-0.142274822,0.399847677,,,
92545,92545,41879,-0.458592092,0.199543031,,,
92596,92596,32256,0.056996308,0.539223153,,,
92563,92563,69469,0.092204888,0.564356436,,,
92506,92506,46241,0.145141237,0.595582635,,,
92551,92551,34011,-0.401750082,0.231530845,,,
92571,92571,57622,-0.515189011,0.173648134,,,
95834,95834,30076,-0.006321959,0.497334349,,,
95828,95828,58717,-0.431520866,0.215536938,,,
95662,95662,32172,0.269935512,0.670220868,,,
92344,92344,23349,-0.320221593,0.279512567,,,
92314,92314,11385,-0.481451702,0.189642041,,,
91786,91786,53697,-0.101948469,0.431835491,,,
91701,91701,39461,0.301978538,0.691546078,,,
92386,92386,2248,-0.626803426,0.12185834,,,
92377,92377,20476,-0.030238891,0.485910129,,,
92311,92311,33454,-0.734686686,0.083777609,,,
92398,92398,2195,-0.292207176,0.29322163,,,
92071,92071,57710,0.247721698,0.656511805,,,
92021,92021,70148,-0.216762488,0.348819497,,,
92019,92019,43272,0.156462241,0.604722011,,,
92078,92078,50510,0.332123889,0.708301599,,,
92106,92106,20155,0.463087453,0.793602437,,,
92131,92131,34727,0.785960442,0.935262757,,,
92173,92173,31000,-0.656620013,0.11043412,,,
92129,92129,54762,0.592955593,0.862909368,,,
91977,91977,64750,-0.157099824,0.389185072,,,
92084,92084,51619,-0.071461284,0.450875857,,,
92009,92009,46612,0.771196948,0.932977913,,,
92123,92123,32473,0.225432167,0.642802742,,,
91913,91913,54114,0.166560156,0.607768469,,,
91945,91945,27236,-0.180376629,0.378522468,,,
92113,92113,58408,-0.762059024,0.078446306,,,
91901,91901,18162,0.181089715,0.61614623,,,
92115,92115,64343,-0.25266205,0.328255903,,,
92145,92145,1883,0.79126638,0.938309216,,,
94102,94102,31392,-0.152912883,0.392993145,,,
94112,94112,84707,0.419952066,0.762376238,,,
94129,94129,4136,1.106437154,0.984767708,,,
94127,94127,21151,1.140362639,0.988575781,,,
95206,95206,64250,-0.636759743,0.118050267,,,
95236,95236,4199,0.111361918,0.574257426,,,
95220,95220,7576,0.017503574,0.511805027,,,
93401,93401,28854,0.374699955,0.734958111,,,
93446,93446,44636,0.032148415,0.521706017,,,
94062,94062,28423,1.006154702,0.976389947,,,
94303,94303,48244,0.40574026,0.753998477,,,
94030,94030,22625,0.744792157,0.928408225,,,
93455,93455,46175,0.247005559,0.654988576,,,
93427,93427,6200,0.312642426,0.699923839,,,
93463,93463,7911,0.466657834,0.79893374,,,
95122,95122,56121,-0.116986195,0.419649657,,,
95121,95121,37531,0.268621988,0.667936024,,,
95030,95030,13481,1.020557263,0.977151561,,,
95133,95133,28565,0.120014666,0.578827113,,,
94087,94087,56668,0.855885532,0.955826352,,,
94301,94301,16582,1.139064892,0.987814166,,,
95124,95124,51455,0.735451368,0.926123382,,,
94041,94041,14572,0.802252789,0.941355674,,,
94306,94306,27435,0.971250832,0.968012186,,,
95046,95046,5918,0.155865744,0.603960396,,,
95060,95060,47801,0.376896951,0.735719726,,,
96001,96001,34293,-0.030103069,0.486671744,,,
96097,96097,9746,-0.235554022,0.335110434,,,
95618,95618,27519,0.376984519,0.73648134,,,
95351,95351,48542,-0.854652389,0.054074638,,,
93274,93274,74000,-0.566215797,0.150038081,,,
95370,95370,28096,0.040531907,0.52551409,,,
95372,95372,2056,-0.000992119,0.501904037,,,
95627,95627,3802,-0.119861931,0.418126428,,,
95903,95903,1653,-1.070441017,0.015232292,,,
